"date","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag0d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag1d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag2d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag3d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag4d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag5d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag6d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag7d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag8d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag9d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag10d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag11d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag12d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag13d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag14d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag15d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag16d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag17d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag18d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag19d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag20d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag21d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag22d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag23d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag24d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag25d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag26d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag27d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag28d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag29d","expandedSalvage_WRLAD_wild_full_salvage_statInst_spMean_tm1dInstLag30d","Year"
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2008-12-31,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-01,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-02,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-03,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-04,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-05,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-06,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-07,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-08,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-09,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-10,0,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-11,0,0,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-12,0,0,0,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-13,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-14,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-15,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-16,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-17,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-18,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2009
2009-01-19,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2009
2009-01-20,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2009
2009-01-21,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2009
2009-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2009
2009-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2009
2009-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2009
2009-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,2009
2009-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,0,0,0,2009
2009-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,0,0,2009
2009-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,0,2009
2009-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,2009
2009-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,2009
2009-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,2009
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,2009
2009-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,2009
2009-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,2009
2009-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,2009
2009-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,2009
2009-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,2009
2009-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2009
2009-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2009
